    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
       -1.29371873,      0.9635255827,       1.933213383,       4.161587955,        2.46435512,       3.295265868
       -1.27709954,       1.016613681,       1.641262313,       4.289719001,       2.541281001,       3.441446475
      -1.205585613,      0.7605003219,       2.009462436,       4.105764882,       2.377117956,       3.182923542
      -1.169619961,       1.292051297,       1.522952377,       4.301613554,       2.481858201,       3.308186733
      -1.178284881,      0.8532084712,       1.934385022,       4.183518084,       2.223063283,       3.097696099
      -1.316555191,      0.8162440231,        1.71258656,       4.169798663,       2.550825942,       3.308986719
      -1.159695124,      0.6854534489,       1.897753809,       4.243208561,       2.334907409,        3.22357483
      -1.384733647,      0.5368555928,       1.553725739,       4.168958382,       2.520117693,        3.25652293
      -1.085274748,      0.6551344427,       1.912592214,        4.33371126,       2.464026566,       3.270552716
      -1.207256536,      0.6531400913,       1.593833658,       4.289605007,       2.382955192,       3.157605194
       -1.12543807,       1.174840383,       1.954393535,       4.292400084,        2.48876002,       3.279416399
      -1.179560558,      0.8822737876,       1.580160723,       4.274624288,        2.43333087,       3.342875402
      -1.170891202,      0.6113916133,       1.755946592,        4.21113143,       2.275590272,       3.077880139
      -1.278696724,      0.8718669687,        1.43241141,       4.251602892,       2.373121895,       3.221712757
      -1.068573023,       0.813881795,       1.596565041,       4.338899258,         2.3007802,       3.034472564
      -1.389708198,      0.7450268707,       1.273502894,        4.06331295,       2.163356132,       2.870255929
      -1.307692192,      0.7814149654,       1.674664605,       4.086421239,       2.275434503,        3.11079412
      -1.125885795,       1.124578861,       1.724311334,       4.315702631,       2.285657245,       3.203951875
      -1.108251294,      0.6670841861,       1.857642469,       4.337453804,       2.386884171,       3.223526536
      -1.269185774,      0.9920718309,        1.80344704,       4.291471264,       2.640547979,       3.334901125
      -1.123962857,       1.020029954,       2.112403169,       4.383640572,       2.882562853,       3.567321156
      -1.115208693,      0.9913759091,       2.011310886,       4.489869194,       2.689405803,        3.38889423
      -1.165320443,       1.182457097,       2.196678244,       4.313974917,       2.952566542,       3.602606992
      -1.259112916,      0.9850122659,       1.939689818,       4.384151342,       3.183060552,       3.907993399
      -0.650654297,       1.008661757,       2.092423756,       4.755700585,       2.777918022,       3.541903401
      -1.217792015,      0.9109393993,       1.762310389,       4.340124552,       2.963423921,         3.6516231
     -0.7856630277,      0.7751297626,       1.980844144,       4.608082959,        2.53094297,        3.38009999
      -1.274990627,      0.6982607781,       1.570021744,       4.306646284,       2.867149904,       3.552834959
     -0.8017220285,      0.7447103024,       1.893185345,       4.591596417,       2.666736516,        3.53196499
      -1.057349989,      0.7373548514,       1.897201718,       4.434160002,       2.596728414,       3.332109308
      -1.025821363,      0.7129541874,       1.922184308,       4.340933921,       2.555099504,       3.430866601
      -1.156529112,      0.5618075118,       1.616558465,       4.380644599,       2.760675016,       3.538588498
